table_name,foreign_key_column,parent_table,parent_column,constraint_name
address,city_id,city,city_id,fk_address_city
city,country_id,country,country_id,fk_city
customer,address_id,address,address_id,customer_address_id_fkey
film,language_id,language,language_id,film_language_id_fkey
film_actor,actor_id,actor,actor_id,film_actor_actor_id_fkey
film_actor,film_id,film,film_id,film_actor_film_id_fkey
film_category,category_id,category,category_id,film_category_category_id_fkey
film_category,film_id,film,film_id,film_category_film_id_fkey
inventory,film_id,film,film_id,inventory_film_id_fkey
payment,customer_id,customer,customer_id,payment_customer_id_fkey
payment,rental_id,rental,rental_id,payment_rental_id_fkey
payment,staff_id,staff,staff_id,payment_staff_id_fkey
rental,customer_id,customer,customer_id,rental_customer_id_fkey
rental,inventory_id,inventory,inventory_id,rental_inventory_id_fkey
rental,staff_id,staff,staff_id,rental_staff_id_key
staff,address_id,address,address_id,staff_address_id_fkey
store,address_id,address,address_id,store_address_id_fkey
store,manager_staff_id,staff,staff_id,store_manager_staff_id_fkey
