address_district,frequency
Buenos Aires,10
West Bengali,9
California,9
Shandong,9
Uttar Pradesh,8
So Paulo,8
Maharashtra,7
England,7
Southern Tagalog,6
Texas,5
Tamil Nadu,5
Punjab,5
Hubei,5
Gois,5
Karnataka,5
Moskova,4
Gauteng,4
Guangdong,4
Taipei,4
Mxico,4
West Java,4
Oyo & Osun,4
Inner Mongolia,4
Guanajuato,4
Illinois,4
Rajasthan,4
Henan,3
Liaoning,3
Okayama,3
Ondo & Ekiti,3
Rio Grande do Sul,3
Central Java,3
Slaskie,3
Andhra Pradesh,3
Sichuan,3
Sumy,3
Central,3
Coahuila de Zaragoza,3
Minas Gerais,3
,3
Gujarat,3
Bihar,3
Dhaka,3
Madhya Pradesh,3
Ontario,3
Nordrhein-Westfalen,3
Saitama,3
Galicia,3
Hiroshima,3
Esfahan,3
Central Luzon,3
Mekka,2
Heilongjiang,2
Ha Darom,2
Shanxi,2
Jalisco,2
North West,2
East Java,2
Gelderland,2
Florida,2
Caraga,2
Tahiti,2
Distrito Federal,2
al-Qalyubiya,2
Ohio,2
Tatarstan,2
Yamaguchi,2
Hunan,2
Tokyo-to,2
Chihuahua,2
QLD,2
Michigan,2
Adana,2
Jiangsu,2
KwaZulu-Natal,2
Xinxiang,2
Kanagawa,2
Fukushima,2
Lipetsk,2
Haryana,2
Northern Mindanao,2
Jharkhand,2
Hidalgo,2
Missouri,2
Alberta,2
Sind,2
Tel Aviv,2
Kaduna,2
Michoacn de Ocampo,2
Risaralda,2
al-Sharqiya,2
Lombardia,2
Sucre,2
Jilin,2
Krasnojarsk,2
Khanh Hoa,2
Gansu,2
Zhejiang,2
Abu Dhabi,2
Osaka,2
Nantou,2
Tennessee,2
Kerala,2
National Capital Reg,2
Morelos,2
Brunei and Muara,1
Tete,1
Miranda,1
Kyonggi,1
Skikda,1
Oriental,1
St George,1
Kowloon and New Kowl,1
Kujawsko-Pomorskie,1
Baja California,1
Wielkopolskie,1
Pohjois-Pohjanmaa,1
Severn Morava,1
Sumqayit,1
Gaziantep,1
St Thomas,1
Massachusetts,1
Kabol,1
Haiphong,1
Cheju,1
Virginia,1
Chiayi,1
Gurico,1
Hebei,1
Shaba,1
Asturia,1
Mandalay,1
Hmelnytskyi,1
Baden-Wrttemberg,1
Tadla-Azilal,1
Attika,1
Irkutsk,1
Zufar,1
Nonthaburi,1
Anhalt Sachsen,1
Tongatapu,1
Friuli-Venezia Giuli,1
Pietari,1
Namibe,1
Okinawa,1
Free State,1
Oaxaca,1
Fejr,1
Sumatera Selatan,1
Kwara & Kogi,1
Puebla,1
Cear,1
Fujian,1
Sokoto & Kebbi & Zam,1
Addis Abeba,1
Nebraska,1
Sousse,1
Nord-Ouest,1
Stavropol,1
Mahajanga,1
Esprito Santo,1
Vaud,1
OHiggins,1
Tartumaa,1
Mazowieckie,1
Kaliningrad,1
Colorado,1
Bchar,1
Vilna,1
Eskisehir,1
Baki,1
Taka-Karpatia,1
Valle,1
Ahal,1
Antofagasta,1
Masqat,1
Usak,1
Callao,1
Ninawa,1
Benguela,1
Kilis,1
Kalimantan Barat,1
Chaharmahal va Bakht,1
Central Serbia,1
Istanbul,1
Nam Ha,1
Sivas,1
La Paz,1
Chari-Baguirmi,1
Chimborazo,1
La Romana,1
Komi,1
Jakarta Raya,1
Kyongsangbuk,1
Ziguinchor,1
Tabuk,1
Sinaloa,1
Sharja,1
Bratislava,1
Cayenne,1
Songkhla,1
Yerevan,1
Utrecht,1
Bursa,1
Taizz,1
North Austria,1
Ningxia,1
Puerto Plata,1
Loja,1
al-Daqahliya,1
Boyac,1
Tuvassia,1
Pays de la Loire,1
Liepaja,1
Nizni Novgorod,1
Coquimbo,1
Tianjin,1
Khartum,1
Guerrero,1
Drenthe,1
Ivanovo,1
Shimane,1
Kirov,1
Piura,1
Streymoyar,1
Sarawak,1
East Azerbaidzan,1
Huanuco,1
Hainan,1
Mogiljov,1
Aceh,1
Kermanshah,1
Apulia,1
Campeche,1
Pernambuco,1
Moscow (City),1
Dolnoslaskie,1
Qina,1
Chiba,1
Ruse,1
Ishikawa,1
Gumma,1
North Carolina,1
Manab,1
Cagayan Valley,1
Nagano,1
Kedah,1
Banjul,1
Roraima,1
Lima,1
Qubec,1
Sagaing,1
Rabat-Sal-Zammour-Z,1
Crdoba,1
Pavlodar,1
Zanzibar West,1
Toscana,1
Jaroslavl,1
Caquet,1
Lubelskie,1
Asir,1
Sawhaj,1
Alto Paran,1
Kang-won,1
Sulawesi Utara,1
Phnom Penh,1
Kalmykia,1
Centre,1
Daugavpils,1
Rostov-na-Donu,1
Nghe An,1
Ktahya,1
Aden,1
Veracruz,1
Eastern Visayas,1
Vaduz,1
Tokat,1
Anzotegui,1
Saint-Denis,1
Chollanam,1
Nyanza,1
Changhwa,1
Santa F,1
Denizli,1
Noord-Brabant,1
Zulia,1
Paran,1
Mwanza,1
Nova Scotia,1
Batman,1
Assam,1
Hanoi,1
Battambang,1
Washington,1
Basel-Stadt,1
Par,1
Jiangxi,1
Copperbelt,1
Krim,1
Arecibo,1
Shiga,1
Santa Catarina,1
Vojvodina,1
Ynlin,1
Scotland,1
Edo & Delta,1
Central Visayas,1
al-Manama,1
Kaohsiung,1
Baja California Sur,1
Chuquisaca,1
Nampula,1
Ibaragi,1
Carabobo,1
Provence-Alpes-Cte,1
Smolensk,1
Qaraghandy,1
Funafuti,1
Saarland,1
al-Qadarif,1
Tabora,1
Pyongyang-si,1
Steiermark,1
Baijeri,1
Adygea,1
Georgia,1
Northern Cape,1
Baskimaa,1
Santiago,1
Tucumn,1
Lilongwe,1
Sisilia,1
Markazi,1
Hamilton,1
Chisinau,1
Sofala,1
Tutuila,1
Bukarest,1
West Greece,1
Miyazaki,1
Hawalli,1
Rio de Janeiro,1
Central Mindanao,1
British Colombia,1
Botosani,1
Bern,1
Northern,1
Kerman,1
Balikesir,1
Kitaa,1
Tamaulipas,1
Piemonte,1
Nothwest Border Prov,1
Kurgan,1
Kursk,1
Salzburg,1
Hodeida,1
Osmaniye,1
Asuncin,1
Midi-Pyrnes,1
Batna,1
Ponce,1
East Kasai,1
Nagasaki,1
Perak,1
Volgograd,1
Bretagne,1
Skne ln,1
Bauchi & Gombe,1
Western Cape,1
Mie,1
Gifu,1
Nakhon Sawan,1
Southern Mindanao,1
New Hampshire,1
Haskovo,1
Sanaa,1
Minsk,1
