table_name,payment_date,frequency_count
payment,2007-02-14,27
payment,2007-02-15,308
payment,2007-02-16,282
payment,2007-02-17,283
payment,2007-02-18,302
payment,2007-02-19,310
payment,2007-02-20,291
payment,2007-02-21,213
payment,2007-03-01,676
payment,2007-03-02,595
payment,2007-03-16,72
payment,2007-03-17,584
payment,2007-03-18,624
payment,2007-03-19,631
payment,2007-03-20,611
payment,2007-03-21,673
payment,2007-03-22,621
payment,2007-03-23,557
payment,2007-04-05,64
payment,2007-04-06,486
payment,2007-04-07,472
payment,2007-04-08,516
payment,2007-04-09,514
payment,2007-04-10,482
payment,2007-04-11,468
payment,2007-04-12,452
payment,2007-04-26,79
payment,2007-04-27,643
payment,2007-04-28,627
payment,2007-04-29,640
payment,2007-04-30,1311
payment,2007-05-14,182
