table_name,check_clause
actor,actor_id IS NOT NULL
actor,last_update IS NOT NULL
actor,first_name IS NOT NULL
actor,last_name IS NOT NULL
address,phone IS NOT NULL
address,district IS NOT NULL
address,city_id IS NOT NULL
address,last_update IS NOT NULL
address,address_id IS NOT NULL
address,address IS NOT NULL
category,category_id IS NOT NULL
category,name IS NOT NULL
category,last_update IS NOT NULL
city,country_id IS NOT NULL
city,city_id IS NOT NULL
city,city IS NOT NULL
city,last_update IS NOT NULL
country,last_update IS NOT NULL
country,country IS NOT NULL
country,country_id IS NOT NULL
customer,first_name IS NOT NULL
customer,address_id IS NOT NULL
customer,activebool IS NOT NULL
customer,create_date IS NOT NULL
customer,customer_id IS NOT NULL
customer,store_id IS NOT NULL
customer,last_name IS NOT NULL
film,rental_duration IS NOT NULL
film,title IS NOT NULL
film,film_id IS NOT NULL
film,fulltext IS NOT NULL
film,last_update IS NOT NULL
film,replacement_cost IS NOT NULL
film,rental_rate IS NOT NULL
film,language_id IS NOT NULL
film_actor,film_id IS NOT NULL
film_actor,actor_id IS NOT NULL
film_actor,last_update IS NOT NULL
film_category,last_update IS NOT NULL
film_category,film_id IS NOT NULL
film_category,category_id IS NOT NULL
inventory,last_update IS NOT NULL
inventory,store_id IS NOT NULL
inventory,film_id IS NOT NULL
inventory,inventory_id IS NOT NULL
language,last_update IS NOT NULL
language,language_id IS NOT NULL
language,name IS NOT NULL
payment,customer_id IS NOT NULL
payment,rental_id IS NOT NULL
payment,amount IS NOT NULL
payment,payment_date IS NOT NULL
payment,payment_id IS NOT NULL
payment,staff_id IS NOT NULL
rental,inventory_id IS NOT NULL
rental,customer_id IS NOT NULL
rental,last_update IS NOT NULL
rental,staff_id IS NOT NULL
rental,rental_id IS NOT NULL
rental,rental_date IS NOT NULL
staff,username IS NOT NULL
staff,staff_id IS NOT NULL
staff,first_name IS NOT NULL
staff,last_name IS NOT NULL
staff,address_id IS NOT NULL
staff,store_id IS NOT NULL
staff,active IS NOT NULL
staff,last_update IS NOT NULL
store,last_update IS NOT NULL
store,address_id IS NOT NULL
store,manager_staff_id IS NOT NULL
store,store_id IS NOT NULL
